Brightness,Greenness,Wetness,Label
630.4697,-566.5197,223.9378,0
630.3969,-574.4936,232.0501,0
639.0046,-588.8921,232.7198,0
655.028,-615.4577,221.1193,0
636.7019,-561.8682,221.9568,0
629.0271,-573.7642,223.9433,0
635.6946,-582.3133,222.7,0
650.2588,-616.6165,221.3316,0
635.7786,-588.7736,223.6566,0
5270.9814,717.2243,-2510.1338,0
5305.92,754.873,-2623.6328,0
5475.8984,696.7978,-2692.8188,0
5585.3525,529.5733,-2657.6172,0
5338.7725,655.3596,-2507.7598,0
5360.5083,681.7394,-2535.5017,0
5545.728,680.7605,-2696.642,0
5600.775,685.238,-2749.0818,0
5354.897,690.2421,-2653.9026,0
5379.768,748.638,-2660.5874,0
5290.908,696.549,-2560.917,0
5385.079,728.998,-2609.8127,0
5599.641,695.9886,-2768.5618,0
5670.0005,689.5513,-2880.6719,0
5455.2847,681.6447,-2676.7373,0
5446.549,711.7811,-2665.848,0
5355.925,708.1569,-2647.575,0
5428.3457,706.9092,-2728.44,0
5597.567,708.1675,-2842.974,0
5704.433,695.4551,-2926.639,0
5456.955,649.2194,-2699.624,0
5469.655,667.6673,-2741.7996,0
5518.204,672.4345,-2760.9197,0
5525.4673,685.9648,-2813.082,0
5623.646,686.096,-2883.7454,0
5752.4326,658.5898,-2914.4001,0
5510.2505,615.0495,-2713.5476,0
5568.8784,621.6832,-2777.9277,0
5562.205,622.0704,-2762.3445,0
5595.5767,615.2495,-2802.671,0
5682.3203,632.592,-2854.2795,0
5720.99,658.7926,-2886.4304,0
5140.779,676.9918,-2693.2712,0
5615.2925,598.0153,-2835.475,0
5570.165,663.452,-2830.9702,0
5635.5454,666.4881,-2862.4812,0
5643.7354,648.768,-2863.8425,0
5496.8457,602.2225,-2747.8208,0
5708.3975,589.6396,-2822.402,0
5679.0503,582.3226,-2826.4016,0
